"player_name","player_url","season_injured","injury","injured_since","injured_until","duration","games_missed","club"
"Luciano Pons","https://www.transfermarkt.com/luciano-pons/profil/spieler/538770","20/21","Corona virus",2021-04-04,2021-04-16,"12 days","2","CA Banfield"
"Alan Aguerre","https://www.transfermarkt.com/alan-aguerre/profil/spieler/269784","20/21","contortion",2020-11-09,2021-01-26,"78 days","11","CA Newell's Old Boys"
"Fabricio Fontanini","https://www.transfermarkt.com/fabricio-fontanini/profil/spieler/87396","21/22","Rib fracture",2022-04-06,2022-05-12,"36 days","5","AMSD Atlético de Rafaela"
"Stefano Callegari","https://www.transfermarkt.com/stefano-callegari/profil/spieler/556300","20/21","Muscle injury",2021-02-10,2021-03-01,"19 days","2","Club Atlético Platense"
"Stefano Callegari","https://www.transfermarkt.com/stefano-callegari/profil/spieler/556300","18/19","Muscle injury",2019-02-20,2019-03-10,"18 days","3","CA Newell's Old Boys"
"Stefano Callegari","https://www.transfermarkt.com/stefano-callegari/profil/spieler/556300","20/21","Fitness",2018-04-28,2018-05-05,"7 days",NA,"Club Atlético Platense"
"Stefano Callegari","https://www.transfermarkt.com/stefano-callegari/profil/spieler/556300","17/18","Ankle injury",2017-08-20,2018-03-20,"212 days",NA,"CA Newell's Old Boys"
"Santiago Gentiletti","https://www.transfermarkt.com/santiago-gentiletti/profil/spieler/30782","20/21","Knee surgery",2021-02-10,2021-07-12,"152 days",NA,"Genoa CFC"
"Mariano Bíttolo","https://www.transfermarkt.com/mariano-bittolo/profil/spieler/105842","23/24","Muscle injury",2023-08-03,2023-09-17,"45 days","7","AA Argentinos Juniors"
"Mariano Bíttolo","https://www.transfermarkt.com/mariano-bittolo/profil/spieler/105842","20/21","Ankle sprain",2021-02-23,2021-04-06,"42 days","6","CA Newell's Old Boys"
"Mariano Bíttolo","https://www.transfermarkt.com/mariano-bittolo/profil/spieler/105842","17/18","Knock",2017-10-29,2017-11-23,"25 days","3","Albacete Balompié"
"Ángelo Gabrielli","https://www.transfermarkt.com/angelo-gabrielli/profil/spieler/285655","22/23","Muscle injury",2023-02-08,2023-03-22,"42 days","6","CA Fénix"
"Ángelo Gabrielli","https://www.transfermarkt.com/angelo-gabrielli/profil/spieler/285655","20/21","Quarantine",2020-11-12,2020-11-22,"10 days","1","CA Newell's Old Boys"
"Ángelo Gabrielli","https://www.transfermarkt.com/angelo-gabrielli/profil/spieler/285655","17/18","Fitness",2017-10-01,2017-10-09,"8 days","1","CA Fénix"
"Aníbal Moreno","https://www.transfermarkt.com/anibal-moreno/profil/spieler/642758","23/24","Torn muscle bundle",2023-08-31,2023-09-27,"27 days","6","Racing Club"
"Aníbal Moreno","https://www.transfermarkt.com/anibal-moreno/profil/spieler/642758","23/24","muscular problems",2023-07-08,2023-07-31,"23 days","5","Racing Club"
"Aníbal Moreno","https://www.transfermarkt.com/anibal-moreno/profil/spieler/642758","22/23","muscular problems",2023-05-05,2023-05-11,"6 days","2","Racing Club"
"Aníbal Moreno","https://www.transfermarkt.com/anibal-moreno/profil/spieler/642758","22/23","Hamstring strain",2023-04-11,2023-04-27,"16 days","4","Racing Club"
"Aníbal Moreno","https://www.transfermarkt.com/anibal-moreno/profil/spieler/642758","22/23","Knee problems",2023-02-11,2023-02-15,"4 days","1","Racing Club"
"Ribair Rodríguez","https://www.transfermarkt.com/ribair-rodriguez/profil/spieler/72587","21/22","Achilles tendon surgery",2021-11-10,2022-05-04,"175 days","13","Danubio FC"
"Ribair Rodríguez","https://www.transfermarkt.com/ribair-rodriguez/profil/spieler/72587","17/18","Knee injury",2018-04-17,2018-05-17,"30 days","6","Danubio FC"
"Ribair Rodríguez","https://www.transfermarkt.com/ribair-rodriguez/profil/spieler/72587","17/18","Muscle injury",2017-09-14,2017-10-02,"18 days","1","Danubio FC"
"Jerónimo Cacciabue","https://www.transfermarkt.com/jeronimo-cacciabue/profil/spieler/563819","22/23","Adductor injury",2023-03-08,2023-04-05,"28 days","3","Club Atlético Platense"
"Braian Rivero","https://www.transfermarkt.com/braian-rivero/profil/spieler/400896","18/19","Knee injury",2019-04-23,2019-06-23,"61 days",NA,NA
"Carlos Rotondi","https://www.transfermarkt.com/carlos-rotondi/profil/spieler/553422","20/21","Metatarsal fracture",2021-01-06,2021-02-25,"50 days","2","Santiago Wanderers"
"Carlos Rotondi","https://www.transfermarkt.com/carlos-rotondi/profil/spieler/553422","20/21","Metatarsal fracture",2021-01-06,2021-02-25,"50 days","2","CA Newell's Old Boys"
"Joel Amoroso","https://www.transfermarkt.com/joel-amoroso/profil/spieler/267721","20/21","Hamstring injury",2020-09-08,2020-09-17,"9 days","1","FBC Melgar"
"Nicolás Castro","https://www.transfermarkt.com/nicolas-castro/profil/spieler/565899","22/23","Overstretching",2023-05-25,2023-06-30,"36 days","2","KRC Genk"
"Maxi Rodríguez","https://www.transfermarkt.com/maxi-rodriguez/profil/spieler/7895","18/19","Torn muscle bundle",2019-02-28,2019-03-24,"24 days","4","CA Newell's Old Boys"
"Maxi Rodríguez","https://www.transfermarkt.com/maxi-rodriguez/profil/spieler/7895","17/18","Foot injury",2018-05-25,2018-06-04,"10 days","2","CA Peñarol"
"Maxi Rodríguez","https://www.transfermarkt.com/maxi-rodriguez/profil/spieler/7895","17/18","Rest",2018-04-28,2018-04-30,"2 days","1","CA Peñarol"
"Maxi Rodríguez","https://www.transfermarkt.com/maxi-rodriguez/profil/spieler/7895","17/18","Muscle injury",2018-04-16,2018-04-20,"4 days","1","CA Peñarol"
"Maxi Rodríguez","https://www.transfermarkt.com/maxi-rodriguez/profil/spieler/7895","17/18","Rest",2018-03-14,2018-03-17,"3 days","1","CA Peñarol"
"Maxi Rodríguez","https://www.transfermarkt.com/maxi-rodriguez/profil/spieler/7895","17/18","Muscle injury",2017-11-15,2017-11-21,"6 days","2","CA Peñarol"
"Maxi Rodríguez","https://www.transfermarkt.com/maxi-rodriguez/profil/spieler/7895","18/19","Torn muscle bundle",2019-02-28,2019-03-24,"24 days","4","Argentina"
"Lisandro Alzugaray","https://www.transfermarkt.com/lisandro-alzugaray/profil/spieler/396920","21/22","Muscle injury",2022-02-24,2022-03-14,"18 days","5","CD Universidad Católica"
"Francisco González","https://www.transfermarkt.com/francisco-gonzalez/profil/spieler/703564","23/24","Fitness",2023-09-30,2023-10-09,"9 days","2","CA Newell's Old Boys"
"Francisco González","https://www.transfermarkt.com/francisco-gonzalez/profil/spieler/703564","22/23","Cruciate ligament tear",2023-02-04,2023-09-30,"238 days","43","CA Newell's Old Boys"
