"player_name","player_url","season_injured","injury","injured_since","injured_until","duration","games_missed","club"
"Pepê","https://www.transfermarkt.com/pepe/profil/spieler/520662","21/22","Corona virus",2021-12-06,2021-12-14,"8 days","2","FC Porto"
"Marinho","https://www.transfermarkt.com/marinho/profil/spieler/74758","20/21","Corona virus",2021-02-25,2021-03-06,"9 days","4","Santos FC"
"Jhonata Robert","https://www.transfermarkt.com/jhonata-robert/profil/spieler/711338","22/23","Knee injury",2022-10-03,2023-07-28,"298 days","45","Grêmio Foot-Ball Porto Alegrense"
"Jhonata Robert","https://www.transfermarkt.com/jhonata-robert/profil/spieler/711338","21/22","Cruciate ligament injury",2022-01-14,2022-09-18,"247 days","46","Grêmio Foot-Ball Porto Alegrense"
"Diego Tardelli","https://www.transfermarkt.com/diego-tardelli/profil/spieler/37536","20/21","Injury to the ankle",2020-07-15,2021-01-10,"179 days","36","Clube Atlético Mineiro"
"Diego Tardelli","https://www.transfermarkt.com/diego-tardelli/profil/spieler/37536","20/21","Injury to the ankle",2020-07-15,2021-01-10,"179 days","36","Anzhi Makhachkala ( -2022)"
"André Felipe","https://www.transfermarkt.com/andre-felipe/profil/spieler/104509","20/21","unknown injury",2021-01-25,2021-01-30,"5 days","1","Gaziantep FK"
"André Felipe","https://www.transfermarkt.com/andre-felipe/profil/spieler/104509","20/21","Broken finger",2020-10-12,2020-11-07,"26 days","4","Gaziantep FK"
"Luciano","https://www.transfermarkt.com/luciano/profil/spieler/223560","23/24","Hamstring injury",2023-07-05,2023-07-10,"5 days","2","São Paulo Futebol Clube"
"Luciano","https://www.transfermarkt.com/luciano/profil/spieler/223560","21/22","Ill",2021-11-20,2021-12-05,"15 days","3","São Paulo Futebol Clube"
"Luciano","https://www.transfermarkt.com/luciano/profil/spieler/223560","20/21","Muscle injury",2021-06-21,2021-08-16,"56 days","16","São Paulo Futebol Clube"
"Luciano","https://www.transfermarkt.com/luciano/profil/spieler/223560","20/21","Fitness",2020-12-28,2021-01-21,"24 days","5","São Paulo Futebol Clube"
"Luciano","https://www.transfermarkt.com/luciano/profil/spieler/223560","20/21","Muscle injury",2020-12-13,2020-12-24,"11 days","3","São Paulo Futebol Clube"
"Luciano","https://www.transfermarkt.com/luciano/profil/spieler/223560","20/21","Hamstring injury",2020-08-12,2020-08-20,"8 days","1","Grêmio Foot-Ball Porto Alegrense"
"Luciano","https://www.transfermarkt.com/luciano/profil/spieler/223560","18/19","Hamstring injury",2018-08-18,2018-09-02,"15 days","4","São Paulo Futebol Clube"
"Luciano","https://www.transfermarkt.com/luciano/profil/spieler/223560","17/18","Cruciate ligament tear",2017-09-20,2018-07-25,"308 days",NA,"Fluminense Football Club"
"Jael","https://www.transfermarkt.com/jael/profil/spieler/80815","18/19","Hip injury",2019-05-17,2019-06-27,"41 days","8","FC Tokyo"
"Vanderlei","https://www.transfermarkt.com/vanderlei/profil/spieler/68727","22/23","Broken finger",2022-10-15,2022-11-21,"37 days","3","Operário Ferroviário Esporte Clube (PR)"
"Vladimir","https://www.transfermarkt.com/vladimir/profil/spieler/98930","22/23","muscular problems",2022-11-10,2023-01-15,"66 days","2","Avaí FC"
