"player_age","Overall","Wage","Skill Moves","Contract Valid Until","in_squad","expenditure_euros_seller","income_euros_seller","avg_age_in_seller","expenditure_euros_buyer","income_euros_buyer","avg_age_in_buyer","appearances_2022","goals_2022","proyecto_vendedor","transfer_logaritmo","fisico","esfuerzo","balance_buyer","balance_seller","Preferred Foot","is_loan","window","player_position","league_buyer","same_league","valor_league_seller","nacionalidad","salud"
21.0,67.0,900.0,1.0,2025.0,31.0,1.25E8,1.4E7,23.781851000984613,1.25E8,1.017E8,23.9,43.0,0.0,3.0,15.761420707019589,5.0,4.0,-2.33E7,-1.11E8,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0
23.0,69.0,0.0,1.0,2025.0,13.0,1.25E8,9.586E7,23.4,1.25E8,1.017E8,23.9,15.0,5.0,3.0,16.70588231586044,3.0,4.0,-2.33E7,-2.914E7,1.0,2.0,2.0,7.0,1.0,1.0,3.0,3.0,3.0
28.0,70.0,13000.0,3.0,2025.0,21.0,1.25E8,4760000.0,25.2,1.25E8,1.017E8,23.9,27.0,2.0,1.0,14.914122846632385,3.0,4.0,-2.33E7,-1.2024E8,1.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0
25.0,82.0,37000.0,3.0,2024.0,39.0,9.545E7,1.1012E8,22.6,9.545E7,6.673E7,22.3,49.0,0.0,3.0,17.41007933260697,4.0,5.0,-2.872E7,1.467E7,1.0,2.0,1.0,5.0,1.0,1.0,3.0,3.0,3.0
23.0,78.0,41000.0,3.0,2024.0,22.0,9.545E7,8.28E7,24.7,9.545E7,6.673E7,22.3,40.0,8.0,3.0,17.216707939626428,3.0,7.0,-2.872E7,-1.265E7,1.0,2.0,1.0,9.0,1.0,1.0,3.0,3.0,3.0
23.0,74.0,23000.0,3.0,2025.0,34.0,9.545E7,4.31E7,24.2,9.545E7,6.673E7,22.3,32.0,0.0,3.0,16.213405830762646,4.0,7.0,-2.872E7,-5.235E7,1.0,2.0,1.0,13.0,1.0,1.0,3.0,3.0,2.0
29.0,79.0,50000.0,3.0,2025.0,33.0,1.026E8,7.24E7,25.1,9.545E7,6.673E7,22.3,39.0,9.0,1.0,15.80338490611862,5.0,4.0,-2.872E7,-3.02E7,2.0,2.0,1.0,9.0,1.0,1.0,3.0,2.0,3.0
20.0,61.0,2000.0,3.0,2025.0,18.434199903116426,9.545E7,1750000.0,23.781851000984613,9.545E7,6.673E7,22.3,27.99624530663329,4.078848560700876,3.0,14.375126345899696,3.0,4.0,-2.872E7,-9.37E7,2.0,2.0,1.0,4.0,1.0,1.0,3.0,3.0,3.0
23.0,75.0,23000.0,2.0,2025.0,16.0,9.545E7,4.31E7,24.2,9.545E7,6.673E7,22.3,26.0,2.0,3.0,15.444751097694557,4.0,5.0,-2.872E7,-5.235E7,1.0,2.0,2.0,4.0,1.0,1.0,3.0,3.0,2.0
21.0,71.0,7000.0,4.0,2026.0,13.0,9.545E7,1.8334E8,23.781851000984613,9.545E7,6.673E7,22.3,21.0,4.0,3.0,15.176487111099874,1.0,6.0,-2.872E7,8.789E7,1.0,1.0,2.0,8.0,1.0,1.0,3.0,3.0,3.0
21.0,69.0,0.0,1.0,2025.0,24.0,7.81E7,5.12E7,24.1,7.81E7,1.5192E8,23.6,22.0,7.0,3.0,17.18624873214172,3.0,4.0,7.382E7,-2.69E7,1.0,2.0,1.0,9.0,1.0,1.0,3.0,3.0,3.0
24.0,80.0,73000.0,4.0,2027.0,43.0,1.4456E8,1.7256E8,24.9,7.81E7,1.5192E8,23.6,27.0,8.0,3.0,17.054189010128656,5.0,4.0,7.382E7,2.8E7,1.0,2.0,1.0,9.0,1.0,1.0,3.0,3.0,1.0
23.0,75.0,33000.0,2.0,2025.0,47.0,8.18E7,6.92E7,23.8,7.81E7,1.5192E8,23.6,40.0,4.0,3.0,16.06680235657077,5.0,4.0,7.382E7,-1.26E7,2.0,2.0,1.0,6.0,1.0,1.0,3.0,3.0,3.0
22.0,78.0,49000.0,4.0,2027.0,46.0,1.195E8,7.05E7,22.6,7.81E7,1.5192E8,23.6,0.0,0.0,3.0,14.914122846632385,4.0,8.0,7.382E7,-4.9E7,2.0,1.0,1.0,10.0,1.0,1.0,3.0,3.0,3.0
23.0,65.0,4000.0,2.0,2026.0,41.0,7.81E7,2.01E7,23.781851000984613,7.81E7,1.5192E8,23.6,23.0,1.0,3.0,14.73180128983843,4.0,7.0,7.382E7,-5.8E7,1.0,1.0,1.0,13.0,1.0,1.0,2.0,2.0,2.0
24.0,67.0,2000.0,2.0,2025.0,23.0,7.81E7,9.586E7,23.4,7.81E7,1.5192E8,23.6,33.0,0.0,3.0,15.955576721460544,4.0,4.0,7.382E7,1.776E7,1.0,2.0,2.0,4.0,1.0,1.0,3.0,2.0,3.0
30.0,86.0,200000.0,3.0,2024.0,46.0,4.678E8,2.695E8,21.4,1.995E7,8.295E7,25.1,37.0,14.0,2.0,15.573368475516649,9.0,3.0,6.3E7,-1.983E8,2.0,1.0,1.0,9.0,1.0,1.0,3.0,3.0,2.0
29.0,80.0,79000.0,4.0,2025.0,49.0,4.545E8,2.075E8,23.6,1.995E7,8.295E7,25.1,35.0,1.0,3.0,14.73180128983843,3.0,4.0,6.3E7,-2.47E8,1.0,2.0,1.0,5.0,1.0,1.0,3.0,3.0,2.0
25.0,80.0,72000.0,4.0,2027.0,31.0,4.545E8,2.075E8,23.6,1.995E7,8.295E7,25.1,27.99624530663329,4.078848560700876,3.0,13.815510557964274,3.0,8.0,6.3E7,-2.47E8,1.0,1.0,1.0,8.0,1.0,1.0,3.0,3.0,2.0
20.0,66.0,2000.0,3.0,2024.0,22.0,1.995E7,5.9E7,25.4,1.995E7,8.295E7,25.1,27.0,4.0,1.0,16.11809565095832,2.0,6.0,6.3E7,3.905E7,2.0,2.0,2.0,10.0,1.0,1.0,3.0,3.0,3.0
18.0,69.0,0.0,1.0,2025.0,16.0,9.545E7,6.673E7,22.3,1.995E7,8.295E7,25.1,27.99624530663329,4.078848560700876,3.0,13.38472764187182,3.0,4.0,6.3E7,-2.872E7,1.0,1.0,2.0,4.0,1.0,1.0,3.0,3.0,3.0
25.0,78.0,13000.0,5.0,2031.0,25.0,6.55E7,6.19E7,20.7,6.55E7,3.35E7,22.8,33.0,13.0,2.0,16.213405830762646,1.0,6.0,-3.2E7,-3600000.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0
24.0,69.0,0.0,1.0,2025.0,36.0,6.55E7,6.19E7,20.7,6.55E7,3.35E7,22.8,44.0,3.0,2.0,16.012735135300492,3.0,4.0,-3.2E7,-3600000.0,1.0,2.0,1.0,4.0,1.0,1.0,3.0,3.0,3.0
22.0,69.0,7000.0,3.0,2026.0,33.0,6.55E7,5.25E7,21.1,6.55E7,3.35E7,22.8,54.0,7.0,2.0,16.012735135300492,3.0,5.0,-3.2E7,-1.3E7,1.0,2.0,1.0,7.0,1.0,1.0,2.0,2.0,3.0
26.0,75.0,27000.0,2.0,2031.0,34.0,6.55E7,3.75E7,23.8,6.55E7,3.35E7,22.8,2.0,0.0,3.0,15.424948470398377,4.0,4.0,-3.2E7,-2.8E7,1.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0
20.0,69.0,0.0,1.0,2025.0,39.0,7.075E7,1.2995E8,27.6,6.55E7,3.35E7,22.8,27.99624530663329,4.078848560700876,1.0,15.424948470398377,3.0,4.0,-3.2E7,5.92E7,1.0,2.0,1.0,8.0,1.0,1.0,3.0,3.0,3.0
21.0,68.0,14000.0,3.0,2025.0,37.0,6.55E7,5.25E7,21.1,6.55E7,3.35E7,22.8,34.0,1.0,2.0,15.201804919084164,3.0,4.0,-3.2E7,-1.3E7,2.0,2.0,1.0,4.0,1.0,1.0,2.0,3.0,3.0
25.0,69.0,0.0,1.0,2025.0,40.0,6.55E7,2.835E7,23.4,6.55E7,3.35E7,22.8,28.0,1.0,3.0,14.73180128983843,3.0,4.0,-3.2E7,-3.715E7,1.0,2.0,1.0,5.0,1.0,1.0,2.0,2.0,3.0
